bit16,bit24,bit16_hex,bit24_hex
0011110001011100,100000000000001000001111,3C5C,80020F
0011110001011100,100000000000001000010001,3C5C,800211
0011110001011100,100000000000001000010100,3C5C,800214
0011110001011100,100000000000001000010110,3C5C,800216
0011110001011100,100000000000001000011001,3C5C,800219
0011110001011100,100000000000001000011011,3C5C,80021B
0011110001011100,100000000000001000011110,3C5C,80021E
0011110001011100,100000000000001000100000,3C5C,800220
0011110001011100,100000000000001000100011,3C5C,800223
0011110001011100,100000000000001000100101,3C5C,800225
0011110001011100,100000000000001000101000,3C5C,800228
0011110001011100,100000000000001000101010,3C5C,80022A
0011110001011100,100000000000001000101101,3C5C,80022D
0011110001011100,100000000000001000101111,3C5C,80022F
0011110001011100,100000000000001000110010,3C5C,800232
0011110001011100,100000000000001000110100,3C5C,800234
0011110001011100,100000000000001000110111,3C5C,800237
0011110001011100,100000000000001000111001,3C5C,800239
0011110001011100,100000000000001000111100,3C5C,80023C
0011110001011100,100000000000001000111110,3C5C,80023E
0011110001011100,100000000000001001000001,3C5C,800241
0011110001011100,100000000000001001000011,3C5C,800243
0011110001011100,100000000000001001000110,3C5C,800246
0011110001011100,100000000000001001001000,3C5C,800248
0011110001011100,100000000000001001001011,3C5C,80024B
0011110001011100,100000000000001001001101,3C5C,80024D
0011110001011100,100000000000001001010000,3C5C,800250
0011110001011100,100000000000001001010010,3C5C,800252
0011110001011100,100000000000001001010101,3C5C,800255
0011110001011100,100000000000001001010111,3C5C,800257
0011110001011100,100000000000001001011010,3C5C,80025A
0011110001011100,100000000000001001011100,3C5C,80025C
0011110001011100,100000000000001001011111,3C5C,80025F
0011110001011100,100000000000001001100001,3C5C,800261
0011110001011100,100000000000001001100100,3C5C,800264
0011110001011100,100000000000001001100110,3C5C,800266
0011110001011100,100000000000001001101001,3C5C,800269
0011110001011100,100000000000001001101011,3C5C,80026B
0011110001011100,100000000000001001101110,3C5C,80026E
0011110001011100,100000000000001001110000,3C5C,800270
0011110001011100,100000000000001001110011,3C5C,800273
0011110001011100,100000000000001001110101,3C5C,800275
0011110001011100,100000000000001001111000,3C5C,800278
0011110001011100,100000000000001001111010,3C5C,80027A
0011110001011100,100000000000001001111101,3C5C,80027D
0011110001011100,100000000000001001111111,3C5C,80027F
0011110001011100,100000000000001010000010,3C5C,800282
0011110001011100,100000000000001010000100,3C5C,800284
0011110001011100,100000000000001010000111,3C5C,800287
0011110001011100,100000000000001010001001,3C5C,800289
0011110001011100,100000000000001010001100,3C5C,80028C
0011110001011100,100000000000001010001110,3C5C,80028E
0011110001011100,100000000000001010010001,3C5C,800291
